Entry Date,ID,Exit Date,Pages Viewed,Conversion
2017-01-01 12:00:00,1,2017-01-01 13:00:00,3,No
2017-01-02 12:00:00,2,2017-01-02 13:00:00,3,Yes
2017-01-02 12:00:00,3,2017-01-02 13:00:00,3,No
2017-01-03 12:00:00,4,2017-01-03 13:00:00,3,Yes
2017-01-04 12:00:00,5,2017-01-04 13:00:00,3,No
2017-01-05 12:00:00,6,2017-01-05 13:00:00,3,Yes
2017-01-04 12:00:00,7,2017-01-04 13:00:00,3,No
2017-01-05 12:00:00,2,2017-01-05 13:00:00,3,Yes
2017-01-06 12:00:00,3,2017-01-06 13:00:00,3,No
2017-01-07 12:00:00,4,2017-01-07 12:00:01,3,Yes
